,Abbreviation,DriverNumber,TeamName,Position,GridPosition,Status,Points,RaceCountry,Year,AgeAtGP,BestQualiTime,FLapPoint,AvgLapTime,SDLapTime,AvgSplitTime,AvgPitTime,PitstopNo,HARD,INTERMEDIATE,MEDIUM,SOFT,WET,Engine,PrevPodiumRace,Rain,Driver,AverageSpeed,MaxSpeed,AverageRPM,MaxRPM,AverageThrottle,MaxThrottlePct,Brake,raceID
0,GAS,10,Red Bull Racing,11.0,17.0,+1 Lap,0.0,Australia,2019.0,22.0,0 days 00:01:23.020000,0.0,0 days 00:01:29.830125,0 days 00:00:02.723962,0 days 00:00:02.079071428,0 days 00:00:21.269000,1.0,0.0,0.0,37.0,20.0,0.0,Honda,0,False,10,153.1541480184212,326,7793.417720697931,12860,49.78381007978206,38.56781474995135,13.413764026723745,1
1,PER,11,Racing Point,13.0,10.0,+1 Lap,0.0,Australia,2019.0,29.0,0 days 00:01:22.532000,0.0,0 days 00:01:30.598089285,0 days 00:00:02.908751,0 days 00:00:02.847035714,0 days 00:00:23.234000,1.0,44.0,0.0,0.0,13.0,0.0,Mercedes,0,False,11,152.74917299085425,331,7973.695239021859,13252,50.15265615878575,24.220016864500227,14.542388272685997,1
2,LEC,16,Ferrari,5.0,5.0,Finished,10.0,Australia,2019.0,21.0,0 days 00:01:21.442000,0.0,0 days 00:01:29.272157894,0 days 00:00:02.795510,0 days 00:00:01.540824561,0 days 00:00:22.306000,1.0,30.0,0.0,0.0,28.0,0.0,Ferrari,0,False,16,155.4095803333982,312,7691.757734967892,12319,56.24560550042161,3.7620808198741646,15.816955309074398,1
3,STR,18,Racing Point,9.0,16.0,+1 Lap,2.0,Australia,2019.0,20.0,0 days 00:01:23.017000,0.0,0 days 00:01:29.851500,0 days 00:00:02.711268,0 days 00:00:02.100446428,0 days 00:00:22.471000,1.0,30.0,0.0,27.0,0.0,0.0,Mercedes,0,False,18,153.10452746967633,323,7737.558798728676,13073,49.15557501459428,3.580463125121619,13.238632678212364,1
4,MAG,20,Haas F1 Team,6.0,7.0,Finished,8.0,Australia,2019.0,26.0,0 days 00:01:22.099000,0.0,0 days 00:01:29.758561403,0 days 00:00:02.795637,0 days 00:00:02.027228070,0 days 00:00:22.388000,1.0,0.0,0.0,44.0,14.0,0.0,Ferrari,1,False,20,155.14490497502757,314,7912.99328663164,12771,58.128753972887075,7.82577673996238,20.419017967179087,1
5,ALB,23,Toro Rosso,14.0,13.0,+1 Lap,0.0,Australia,2019.0,22.0,0 days 00:01:22.636000,0.0,0 days 00:01:30.620321428,0 days 00:00:02.700883,0 days 00:00:02.869267857,0 days 00:00:21.780000,1.0,0.0,0.0,43.0,14.0,0.0,Honda,0,False,23,152.71615748848674,323,7689.365148861646,12472,51.6774664331582,0.7621456833365765,14.46779529091263,1
6,KVY,26,Toro Rosso,10.0,15.0,+1 Lap,1.0,Australia,2019.0,24.0,0 days 00:01:22.511000,0.0,0 days 00:01:29.844053571,0 days 00:00:02.874479,0 days 00:00:02.093000,0 days 00:00:22.086000,1.0,31.0,0.0,26.0,0.0,0.0,Honda,0,False,26,153.2133034961406,328,7768.075987546215,12828,52.38593760134916,1.1351105922034117,14.681844716870987,1
7,HUL,27,Renault,7.0,11.0,+1 Lap,6.0,Australia,2019.0,31.0,0 days 00:01:22.540000,0.0,0 days 00:01:29.872000,0 days 00:00:02.643974,0 days 00:00:02.120946428,0 days 00:00:21.588000,1.0,44.0,0.0,0.0,13.0,0.0,Renault,0,False,27,153.3554517740157,319,7682.645391450996,12248,50.11373808133878,38.84672763832133,12.165142375299993,1
8,RIC,3,Renault,19.0,12.0,Damage,0.0,Australia,2019.0,30.0,0 days 00:01:22.570000,0.0,0 days 00:01:30.781814814,0 days 00:00:01.592151,0 days 00:00:02.388518518,0 days 00:00:33.027000,1.0,28.0,0.0,0.0,1.0,0.0,Renault,0,False,3,78.07721995200104,317,4066.566841798015,12138,61.945190374262175,34.84465200752416,40.909385743010965,1
9,VER,33,Red Bull Racing,3.0,4.0,Finished,15.0,Australia,2019.0,21.0,0 days 00:01:21.320000,0.0,0 days 00:01:28.658842105,0 days 00:00:02.614185,0 days 00:00:00.927508771,0 days 00:00:21.157000,1.0,0.0,0.0,33.0,25.0,0.0,Honda,0,False,33,155.51018356359862,325,7722.791853149121,12461,50.39414282934423,1.0929493416358567,13.533761432185251,1
