,Abbreviation,DriverNumber,TeamName,Position,GridPosition,Status,Points,RaceCountry,Year,AgeAtGP,BestQualiTime,FLapPoint,AvgLapTime,SDLapTime,AvgSplitTime,AvgPitTime,PitstopNo,HARD,INTERMEDIATE,MEDIUM,SOFT,WET,Engine,Rain,Driver,AverageSpeed,MaxSpeed,AverageRPM,MaxRPM,AverageThrottle,MaxThrottlePct,Brake,raceID
0,VER,1,Red Bull Racing,19.0,2.0,Fuel pressure,0.0,Bahrain,2022.0,24.0,0 days 00:01:30.681000,0,0 days 00:01:42.801846153,0 days 00:00:12.100778,0 days 00:00:04.836480769,0 days 00:00:24.745333,3.0,0.0,0.0,13.0,41.0,0.0,Red Bull,False,1,109.53824749017896,328,6131.706514622436,13019,47.34698275862069,12.423614142295941,26.145787865560887,59
1,GAS,10,AlphaTauri,20.0,10.0,Power Unit,0.0,Bahrain,2022.0,25.0,0 days 00:01:31.635000,0,0 days 00:01:40.699883720,0 days 00:00:04.728759,0 days 00:00:03.032720930,0 days 00:00:25.225000,2.0,12.0,0.0,18.0,14.0,0.0,,False,10,121.28440091663029,326,6882.721846355304,12919,47.80636185072021,16.297468354430382,26.18943692710607,59
2,PER,11,Red Bull Racing,18.0,4.0,Fuel pressure,0.0,Bahrain,2022.0,32.0,0 days 00:01:30.921000,0,0 days 00:01:42.955127272,0 days 00:00:11.862432,0 days 00:00:04.976781818,0 days 00:00:24.722000,3.0,0.0,0.0,18.0,38.0,0.0,Red Bull,False,11,113.98927869925797,328,6334.1745416848535,12684,48.16826713225666,11.280554343081624,25.229157573112175,59
3,ALO,14,Alpine,9.0,8.0,Finished,2.0,Bahrain,2022.0,40.0,0 days 00:01:31.621000,0,0 days 00:01:43.050000,0 days 00:00:08.432627,0 days 00:00:05.102178571,0 days 00:00:24.927333,3.0,17.0,0.0,14.0,26.0,0.0,Renault,False,14,117.55671649934527,325,6571.305461588826,12404,51.79828677433435,11.580641641204714,26.347664775207335,59
4,LEC,16,Ferrari,1.0,1.0,Finished,26.0,Bahrain,2022.0,24.0,0 days 00:01:30.558000,1,0 days 00:01:40.727851851,0 days 00:00:10.327640,0 days 00:00:03.001870370,0 days 00:00:24.717333,3.0,0.0,0.0,15.0,42.0,0.0,Ferrari,False,16,121.65934635530336,303,6798.753628328241,12786,56.48169467481449,13.984068092536011,30.35792230467045,59
5,STR,18,Aston Martin,12.0,19.0,Finished,0.0,Bahrain,2022.0,23.0,0 days 00:01:33.032000,0,0 days 00:01:43.375321428,0 days 00:00:09.831087,0 days 00:00:05.427500,0 days 00:00:25.911667,3.0,0.0,0.0,7.0,50.0,0.0,Mercedes,False,18,121.21104321257093,320,6683.008020515059,12799,49.491461152335226,11.365124399825403,27.76898734177215,59
6,MAG,20,Haas F1 Team,5.0,7.0,Finished,10.0,Bahrain,2022.0,29.0,0 days 00:01:31.461000,0,0 days 00:01:42.964375,0 days 00:00:09.825103,0 days 00:00:05.016553571,0 days 00:00:25.801667,3.0,0.0,0.0,12.0,45.0,0.0,Ferrari,False,20,119.76503164556962,324,6622.085634002619,12676,48.62917394151026,11.084133566128328,26.770515058926232,59
7,TSU,22,AlphaTauri,8.0,16.0,Finished,4.0,Bahrain,2022.0,21.0,0 days 00:01:32.750000,0,0 days 00:01:42.961464285,0 days 00:00:09.737628,0 days 00:00:05.013642857,0 days 00:00:24.877667,3.0,0.0,0.0,14.0,43.0,0.0,,False,22,119.75030008729813,329,6795.550960279354,12881,40.32616761239633,1.1676123963334788,15.14349628982977,59
8,ALB,23,Williams,13.0,14.0,Finished,0.0,Bahrain,2022.0,25.0,0 days 00:01:32.664000,0,0 days 00:01:43.569285714,0 days 00:00:08.871638,0 days 00:00:05.621464285,0 days 00:00:25.166333,3.0,0.0,0.0,33.0,24.0,0.0,Mercedes,False,23,119.37464535137495,321,6602.578322784811,13162,48.14286883457006,11.67066783064164,27.433435181143608,59
9,ZHO,24,Alfa Romeo,10.0,15.0,Finished,1.0,Bahrain,2022.0,22.0,0 days 00:01:32.387000,0,0 days 00:01:41.993563636,0 days 00:00:07.010364,0 days 00:00:04.443763636,0 days 00:00:26.455333,3.0,0.0,0.0,30.0,27.0,0.0,,False,24,121.61411501527718,329,6476.576522261022,12837,43.90863705805325,4.6349847228284595,19.90124399825404,59
10,HUL,27,Aston Martin,17.0,17.0,Finished,0.0,Bahrain,2022.0,34.0,0 days 00:01:32.777000,0,0 days 00:01:43.709196428,0 days 00:00:08.542407,0 days 00:00:05.761375,0 days 00:00:26.608333,3.0,0.0,0.0,7.0,50.0,0.0,Mercedes,False,27,121.13640331732867,319,6500.088007420341,12316,49.598919685726756,11.359668267132257,26.454059362723704,59
11,RIC,3,McLaren,14.0,18.0,Finished,0.0,Bahrain,2022.0,33.0,0 days 00:01:32.945000,0,0 days 00:01:43.517107142,0 days 00:00:09.003009,0 days 00:00:05.569285714,0 days 00:00:24.979667,3.0,11.0,0.0,17.0,29.0,0.0,Mercedes,False,3,121.61299650807507,318,6943.397261021388,13046,49.657354866870364,11.228721082496726,24.25250982103885,59
12,OCO,31,Alpine,7.0,11.0,Finished,6.0,Bahrain,2022.0,25.0,0 days 00:01:31.782000,0,0 days 00:01:42.979232142,0 days 00:00:09.104997,0 days 00:00:05.031410714,0 days 00:00:26.703333,3.0,13.0,0.0,16.0,28.0,0.0,Renault,False,31,117.51304015713661,327,6515.460852247927,12656,45.0047741161065,5.690746398952422,20.776953295504146,59
13,NOR,4,McLaren,15.0,13.0,Finished,0.0,Bahrain,2022.0,22.0,0 days 00:01:32.008000,0,0 days 00:01:43.568410714,0 days 00:00:08.532229,0 days 00:00:05.620589285,0 days 00:00:25.636667,3.0,17.0,0.0,24.0,16.0,0.0,Mercedes,False,4,121.59460934089917,325,6978.571639022261,13293,49.91974028808381,11.706132693147097,28.014513312963775,59
14,HAM,44,Mercedes,3.0,5.0,Finished,15.0,Bahrain,2022.0,36.0,0 days 00:01:31.048000,0,0 days 00:01:42.887571428,0 days 00:00:11.290727,0 days 00:00:04.939750,0 days 00:00:25.525333,3.0,16.0,0.0,17.0,24.0,0.0,Mercedes,False,44,122.09572784810126,322,6440.943392623309,12969,49.62660955914448,9.526407682234831,24.26887821911829,59
