,Abbreviation,TeamName,GridPosition,Points,RaceCountry,Year,AgeAtGP,BestQualiTime,FLap,SDLapTime,AvgPitTime,PitstopNo,HARD,INTERMEDIATE,MEDIUM,SOFT,WET,Engine,Rain,AverageSpeed,MaxSpeed,MaxRPM,AverageThrottle,MaxThrottlePct,Brake,raceID,CircuitType,carIssue,driverIssue
0,GAS,RedBullRacing,17.0,0.0,Australia,2019.0,22.0,83.02,0.0,2.723962,21.269,1.0,0.0,0.0,37.0,20.0,0.0,Honda,False,153.1541480184212,326,12860,49.78381007978206,38.56781474995135,13.413764026723744,1,street,0,0
1,PER,RacingPoint,10.0,0.0,Australia,2019.0,29.0,82.532,0.0,2.908751,23.234,1.0,44.0,0.0,0.0,13.0,0.0,Mercedes,False,152.74917299085425,331,13252,50.15265615878575,24.220016864500227,14.542388272685995,1,street,0,0
2,LEC,Ferrari,5.0,10.0,Australia,2019.0,21.0,81.442,0.0,2.79551,22.306,1.0,30.0,0.0,0.0,28.0,0.0,Ferrari,False,155.4095803333982,312,12319,56.24560550042161,3.7620808198741646,15.816955309074398,1,street,0,0
3,STR,RacingPoint,16.0,2.0,Australia,2019.0,20.0,83.017,0.0,2.711268,22.471,1.0,30.0,0.0,27.0,0.0,0.0,Mercedes,False,153.10452746967633,323,13073,49.15557501459428,3.580463125121619,13.238632678212364,1,street,0,0
4,MAG,HaasF1Team,7.0,8.0,Australia,2019.0,26.0,82.099,0.0,2.795637,22.388,1.0,0.0,0.0,44.0,14.0,0.0,Ferrari,False,155.14490497502757,314,12771,58.12875397288708,7.82577673996238,20.419017967179087,1,street,0,0
5,ALB,ToroRosso,13.0,0.0,Australia,2019.0,22.0,82.636,0.0,2.700883,21.78,1.0,0.0,0.0,43.0,14.0,0.0,Honda,False,152.71615748848674,323,12472,51.6774664331582,0.7621456833365765,14.46779529091263,1,street,0,0
6,KVY,ToroRosso,15.0,1.0,Australia,2019.0,24.0,82.511,0.0,2.874479,22.086,1.0,31.0,0.0,26.0,0.0,0.0,Honda,False,153.2133034961406,328,12828,52.38593760134916,1.1351105922034117,14.681844716870987,1,street,0,0
7,HUL,Renault,11.0,6.0,Australia,2019.0,31.0,82.54,0.0,2.643974,21.588,1.0,44.0,0.0,0.0,13.0,0.0,Renault,False,153.3554517740157,319,12248,50.11373808133878,38.84672763832133,12.165142375299991,1,street,0,0
8,RIC,Renault,12.0,0.0,Australia,2019.0,30.0,82.57,0.0,1.592151,33.027,1.0,28.0,0.0,0.0,1.0,0.0,Renault,False,78.07721995200104,317,12138,61.945190374262175,34.84465200752416,40.909385743010965,1,street,1,0
9,VER,RedBullRacing,4.0,15.0,Australia,2019.0,21.0,81.32,0.0,2.614185,21.157,1.0,0.0,0.0,33.0,25.0,0.0,Honda,False,155.51018356359862,325,12461,50.39414282934423,1.0929493416358569,13.533761432185251,1,street,0,0
10,NOR,McLaren,8.0,0.0,Australia,2019.0,19.0,82.304,0.0,2.678407,21.627,1.0,42.0,0.0,0.0,15.0,0.0,Renault,False,152.66932606862554,322,12281,50.23675163780243,3.4637088927806965,13.738081338781862,1,street,0,0
11,HAM,Mercedes,1.0,18.0,Australia,2019.0,33.0,80.486,0.0,2.666781,21.515,1.0,0.0,0.0,43.0,15.0,0.0,Mercedes,False,155.31439320230913,314,12811,51.78387494324447,35.571122786534346,11.876499967568268,1,street,0,0
12,VET,Ferrari,3.0,12.0,Australia,2019.0,32.0,81.19,0.0,2.48909,21.995,1.0,0.0,0.0,44.0,14.0,0.0,Ferrari,False,155.54151261594345,309,12613,56.09807355516637,3.668028799377311,14.99643250956736,1,street,0,0
13,SAI,McLaren,18.0,0.0,Australia,2019.0,25.0,83.084,0.0,0.451487,0.0,0.0,0.0,0.0,0.0,9.0,0.0,Renault,False,28.4263151067004,323,12079,71.07563079717195,59.4408769540118,63.19322825452423,1,street,1,0
14,RUS,Williams,19.0,0.0,Australia,2019.0,20.0,84.36,0.0,3.885362,21.616,2.0,14.0,0.0,26.0,16.0,0.0,Mercedes,False,150.26470779010182,320,12836,51.09385743010962,38.674839462930535,12.612700265940196,1,street,0,0
15,RAI,AlfaRomeoRacing,9.0,4.0,Australia,2019.0,39.0,82.314,0.0,2.917739,23.299,1.0,0.0,0.0,45.0,12.0,0.0,Ferrari,False,153.50136213271065,321,13000,58.71803852889667,8.451709152234546,22.338976454563145,1,street,0,0
16,BOT,Mercedes,2.0,25.0,Australia,2019.0,29.0,80.598,1.0,2.628517,22.014,1.0,0.0,0.0,35.0,23.0,0.0,Mercedes,False,156.01128624245962,314,12428,51.19679574495687,39.60887332165791,11.091652072387625,1,street,0,0
17,GRO,HaasF1Team,6.0,0.0,Australia,2019.0,32.0,81.826,0.0,5.051781,29.981,1.0,0.0,0.0,14.0,15.0,0.0,Ferrari,False,80.4782058766297,321,12715,61.39501848608679,34.413309982486865,42.42719076344295,1,street,1,0
18,KUB,Williams,20.0,0.0,Australia,2019.0,34.0,86.067,0.0,4.159887,25.743,3.0,1.0,0.0,27.0,27.0,0.0,Mercedes,False,147.53395602257248,323,12960,50.7634105208536,37.001362132710646,16.027761561912175,1,street,0,0
19,GIO,AlfaRomeoRacing,14.0,0.0,Australia,2019.0,25.0,82.431,0.0,3.707497,27.172,1.0,0.0,0.0,27.0,30.0,0.0,Ferrari,False,152.76652396704935,303,12668,60.77930206914445,8.270091457482,22.228708568463382,1,street,0,0
20,GAS,RedBullRacing,13.0,4.0,Bahrain,2019.0,22.0,89.526,0.0,8.511713,26.0205,2.0,0.0,0.0,18.0,39.0,0.0,Honda,False,144.97824093881792,337,12756,48.55445877391357,1.7022186907890715,16.89994499113746,2,race,0,0
21,PER,RacingPoint,14.0,1.0,Bahrain,2019.0,29.0,89.756,0.0,6.961739,26.967,2.0,0.0,0.0,49.0,8.0,0.0,Mercedes,False,144.82308538597886,343,13312,46.9741152741275,18.345455656744697,17.147484872562803,2,race,0,0
22,LEC,Ferrari,1.0,15.0,Bahrain,2019.0,21.0,87.866,1.0,8.081631,24.438,2.0,0.0,0.0,44.0,13.0,0.0,Ferrari,False,145.7774891510299,333,12641,54.12187519100299,4.926349245156164,20.056842491290265,2,race,0,0
23,STR,RacingPoint,18.0,0.0,Bahrain,2019.0,20.0,90.217,0.0,8.061027,30.469,2.0,0.0,0.0,55.0,1.0,0.0,Mercedes,False,143.0912535908563,336,13284,44.79918709125359,2.7596112707047245,16.92133732656928,2,race,0,0
24,MAG,HaasF1Team,6.0,0.0,Bahrain,2019.0,26.0,88.757,0.0,8.236629,25.465,2.0,0.0,0.0,28.0,28.0,0.0,Ferrari,False,143.52420389951715,322,12489,51.821007273394045,6.799706619399792,22.932583582910578,2,race,0,0
25,ALB,ToroRosso,12.0,2.0,Bahrain,2019.0,23.0,89.513,0.0,7.022775,25.2505,2.0,0.0,0.0,32.0,25.0,0.0,Honda,False,144.88115029643666,342,13141,48.92812175294909,1.3385489884481387,19.10641158853371,2,race,0,0
26,KVY,ToroRosso,15.0,0.0,Bahrain,2019.0,24.0,89.854,0.0,9.894101,28.6345,2.0,0.0,0.0,26.0,30.0,0.0,Honda,False,143.57857099199316,336,13268,48.11998044129332,0.7609559317890104,16.249006784426378,2,race,0,0
27,HUL,Renault,17.0,0.0,Bahrain,2019.0,31.0,90.034,0.0,4.16644,25.3755,2.0,0.0,0.0,21.0,32.0,0.0,Renault,False,134.6239227431086,335,12386,51.18504370148524,6.286290569036122,20.56414644581627,2,race,1,0
28,RIC,Renault,10.0,0.0,Bahrain,2019.0,30.0,89.488,0.0,3.18657,25.676,1.0,0.0,0.0,29.0,24.0,0.0,Renault,False,134.7701240755455,334,12481,50.35285129270827,6.188497035633519,19.83375099321557,2,race,1,0
29,VER,RedBullRacing,5.0,12.0,Bahrain,2019.0,21.0,88.752,0.0,7.935868,25.464,2.0,0.0,0.0,46.0,11.0,0.0,Honda,False,145.6046085202616,322,12674,45.02463174622578,32.65387201271316,16.132876963510785,2,race,0,0
30,NOR,McLaren,9.0,8.0,Bahrain,2019.0,19.0,89.043,0.0,7.824492,24.446,2.0,0.0,0.0,24.0,33.0,0.0,Renault,False,144.98716459874092,338,12281,47.51925310188864,0.0030560479188313,16.239838640669884,2,race,0,0
31,HAM,Mercedes,3.0,25.0,Bahrain,2019.0,33.0,88.19,0.0,7.211253,24.2895,2.0,0.0,0.0,23.0,34.0,0.0,Mercedes,False,145.7354073711876,331,12843,48.209553205794265,0.0213923354318195,15.136605341971762,2,race,0,0
32,VET,Ferrari,2.0,10.0,Bahrain,2019.0,32.0,88.16,0.0,9.271804,27.544333,3.0,0.0,0.0,24.0,33.0,0.0,Ferrari,False,145.66172605586456,335,12997,54.56194609131471,6.121263981419229,21.28231770674164,2,race,0,0
33,SAI,McLaren,7.0,0.0,Bahrain,2019.0,25.0,88.813,0.0,8.41842,31.854,3.0,16.0,0.0,20.0,17.0,0.0,Renault,False,134.29108856426868,334,12522,45.72425279628384,0.7915164109773242,17.670069066682967,2,race,1,0
34,RUS,Williams,19.0,0.0,Bahrain,2019.0,20.0,91.759,0.0,7.751217,24.7725,2.0,0.0,0.0,44.0,12.0,0.0,Mercedes,False,142.60830633824338,328,13174,47.000794572458894,0.3300531752337877,17.000794572458897,2,race,0,0
35,RAI,AlfaRomeoRacing,8.0,6.0,Bahrain,2019.0,39.0,89.022,0.0,8.106228,25.634,2.0,0.0,0.0,24.0,33.0,0.0,Ferrari,False,145.5577898661451,337,12944,56.91528635168999,9.59293441721166,26.297292341543915,2,race,0,0
36,BOT,Mercedes,4.0,18.0,Bahrain,2019.0,29.0,88.256,0.0,8.248037,24.649,2.0,0.0,0.0,27.0,30.0,0.0,Mercedes,False,147.0028726850437,331,13159,47.18033738769024,34.585294297414585,15.15494162948475,2,race,0,0
37,GRO,HaasF1Team,11.0,0.0,Bahrain,2019.0,32.0,89.015,0.0,6.866675,32.082,1.0,0.0,0.0,15.0,1.0,0.0,Ferrari,False,42.52634313306033,300,12651,67.95308966444594,52.50595929344172,57.86015524723428,2,race,0,1
38,KUB,Williams,20.0,0.0,Bahrain,2019.0,34.0,91.799,0.0,8.997011,24.49,2.0,0.0,0.0,39.0,16.0,0.0,Mercedes,False,140.95467880936374,329,12974,46.15503331092231,30.47796589450523,18.152924637858323,2,race,0,0
39,GIO,AlfaRomeoRacing,16.0,0.0,Bahrain,2019.0,25.0,90.026,0.0,6.87926,26.3025,2.0,0.0,0.0,25.0,32.0,0.0,Ferrari,False,145.13070716948843,335,12459,56.7233359819082,9.045901839740846,25.536336409754902,2,race,0,0
40,GAS,RedBullRacing,6.0,8.0,China,2019.0,22.0,92.93,1.0,4.549585,22.477,3.0,20.0,0.0,14.0,22.0,0.0,Honda,False,146.354186118892,324,12673,48.2177093059446,0.3890445066915655,13.43915343915344,3,race,0,0
41,PER,RacingPoint,12.0,4.0,China,2019.0,29.0,93.299,0.0,2.923554,23.733,1.0,35.0,0.0,20.0,0.0,0.0,Mercedes,False,144.47855586679117,324,13223,45.08966697790227,18.69281045751634,15.150949268596328,3,race,0,0
42,LEC,Ferrari,4.0,10.0,China,2019.0,21.0,91.865,0.0,4.213128,23.574,2.0,20.0,0.0,36.0,0.0,0.0,Ferrari,False,147.24506691565514,329,12470,53.57827575474634,4.898848428260193,20.47930283224401,3,race,0,0
43,STR,RacingPoint,16.0,0.0,China,2019.0,20.0,94.292,0.0,3.724597,23.4905,2.0,24.0,0.0,20.0,11.0,0.0,Mercedes,False,144.58253968253968,334,13190,44.78089013383131,13.554310613134144,14.80859010270775,3,race,0,0
44,MAG,HaasF1Team,9.0,0.0,China,2019.0,26.0,93.15,0.0,3.835907,23.6735,2.0,24.0,0.0,22.0,9.0,0.0,Ferrari,False,144.50323685029568,340,12553,54.6552443199502,9.62962962962963,24.90507314036726,3,race,0,0
45,KVY,ToroRosso,11.0,0.0,China,2019.0,24.0,93.236,0.0,7.192723,28.837667,3.0,5.0,0.0,25.0,11.0,0.0,Honda,False,107.49060068471832,336,12790,53.49909741674448,18.375350140056025,30.043572984749456,3,race,1,0
46,HUL,Renault,8.0,0.0,China,2019.0,31.0,92.962,0.0,5.58339,24.107,1.0,5.0,0.0,0.0,11.0,0.0,Renault,False,43.549828820417055,338,12272,67.64313725490196,51.403672580143166,56.1437908496732,3,race,1,0
47,RIC,Renault,7.0,6.0,China,2019.0,30.0,92.958,0.0,2.879353,23.506,1.0,37.0,0.0,0.0,18.0,0.0,Renault,False,144.91350762527233,315,12176,47.25546218487395,33.91534391534392,11.48148148148148,3,race,0,0
48,VER,RedBullRacing,5.0,12.0,China,2019.0,21.0,92.089,0.0,3.892214,22.794,2.0,17.0,0.0,39.0,0.0,0.0,Honda,False,147.3394024276377,332,12746,45.969810146280736,34.92063492063492,14.366635543106131,3,race,0,0
49,NOR,McLaren,15.0,0.0,China,2019.0,19.0,93.967,0.0,8.54994,35.633333,3.0,16.0,0.0,18.0,16.0,0.0,Renault,False,130.86598194833488,332,12235,41.18994708994709,0.967942732648615,12.22222222222222,3,race,1,0
50,HAM,Mercedes,2.0,25.0,China,2019.0,33.0,91.57,0.0,4.005881,23.1205,2.0,14.0,0.0,42.0,0.0,0.0,Mercedes,False,148.02701525054465,323,12753,48.28285091814504,33.311546840958606,12.187986305633364,3,race,0,0
51,VET,Ferrari,3.0,15.0,China,2019.0,32.0,91.848,0.0,3.965037,22.5325,2.0,17.0,0.0,39.0,0.0,0.0,Ferrari,False,148.78910675381263,331,12535,54.31826953003424,5.904139433551198,21.85807656395892,3,race,0,0
52,SAI,McLaren,14.0,0.0,China,2019.0,25.0,93.523,0.0,6.235207,34.205,2.0,35.0,0.0,1.0,19.0,0.0,Renault,False,144.05191409897293,327,12073,46.51671335200747,0.1089324618736383,14.858387799564271,3,race,0,0
53,RUS,Williams,17.0,0.0,China,2019.0,20.0,95.253,0.0,3.67028,24.1485,2.0,27.0,0.0,22.0,5.0,0.0,Mercedes,False,142.29106753812636,326,13014,48.26853408029879,2.253345782757547,16.59508247743542,3,race,0,0
54,RAI,AlfaRomeoRacing,13.0,2.0,China,2019.0,39.0,93.419,0.0,2.942063,23.888,1.0,30.0,0.0,25.0,0.0,0.0,Ferrari,False,145.03958916900095,339,12992,52.638530967942735,6.271397447868036,23.03454715219421,3,race,0,0
55,BOT,Mercedes,1.0,18.0,China,2019.0,29.0,91.547,0.0,3.919366,23.1395,2.0,15.0,0.0,41.0,0.0,0.0,Mercedes,False,147.41935885465298,333,12455,47.420354808590105,35.655150949268595,12.595704948646125,3,race,0,0
56,GRO,HaasF1Team,10.0,0.0,China,2019.0,32.0,93.156,0.0,3.903041,23.3905,2.0,27.0,0.0,20.0,8.0,0.0,Ferrari,False,145.04450669156552,330,12754,50.13993152816682,5.480859010270775,19.81637099284158,3,race,0,0
57,KUB,Williams,18.0,0.0,China,2019.0,34.0,95.281,0.0,4.236136,32.627,1.0,28.0,0.0,26.0,0.0,0.0,Mercedes,False,141.77233115468408,324,12763,46.55471521942111,0.8123249299719889,17.14908185496421,3,race,0,0
58,GIO,AlfaRomeoRacing,19.0,0.0,China,2019.0,25.0,136.522,0.0,4.295595,25.1605,2.0,0.0,0.0,48.0,7.0,0.0,Ferrari,False,144.60152505446624,330,13126,55.29474011826953,8.0765639589169,23.37068160597572,3,race,0,0
59,GAS,RedBullRacing,0.0,0.0,Azerbaijan,2019.0,22.0,101.335,0.0,1.974767,0.0,0.0,0.0,0.0,38.0,0.0,0.0,Honda,False,106.4828172205438,344,12503,72.72268378650554,36.60309667673716,47.22117321248741,4,race,1,0
60,PER,RacingPoint,5.0,8.0,Azerbaijan,2019.0,29.0,101.593,0.0,6.374395,20.939,1.0,0.0,0.0,41.0,10.0,0.0,Mercedes,False,146.17277190332325,339,13159,47.95081193353474,32.82036757301108,17.51636455186304,4,race,0,0
