Driver;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
HAM;8;7;8;1;7;6;7;2;3;8;5;7;7;7;6;5;7;2;7;5;7
BOT;1;2;1;1;1;0;4;0;2;2;2;2;1;2;1;3;1;2;0;1;3
VER;0;0;1;0;2;0;1;1;2;1;1;0;1;0;1;0;3;2;1;2;1
VET;7;5;5;0;5;6;5;0;2;5;3;6;6;6;7;3;7;1;4;6;7
LEC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAG;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HUL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RAI;6;8;6;1;5;4;2;5;3;7;4;9;5;4;2;2;5;2;3;7;2
STR;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KVY;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
GAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PER;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0
ALB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RUS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KUB;1;1;0;0;0;2;1;0;0;0;0;0;1;2;0;0;1;0;0;1;0
GRO;0;2;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0
RIC;0;0;1;1;2;4;2;0;1;1;1;3;3;0;4;0;1;1;2;0;0
SAI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
